series,x,y
Grayscale,219.5,284.0
Grayscale,220.5,230.0
Grayscale,221.5,234.0
Grayscale,222.5,194.0
Grayscale,223.5,188.0
Grayscale,224.5,126.0
Grayscale,225.5,77.0
Grayscale,226.5,74.0
Grayscale,227.5,59.0
Grayscale,228.5,51.0
Grayscale,229.5,22.0
Grayscale,230.5,19.0
Grayscale,231.5,9.0
Grayscale,232.5,7.0
Grayscale,233.5,6.0
Grayscale,234.5,8.0
Grayscale,235.5,1.0
Grayscale,236.5,0.0
Grayscale,237.5,0.0
Grayscale,238.5,1.0
Grayscale,239.5,0.0
Grayscale,240.5,0.0
Grayscale,241.5,0.0
Grayscale,242.5,2.0
Grayscale,243.5,0.0
Grayscale,244.5,1.0
Grayscale,245.5,1.0
Grayscale,246.5,0.0
Grayscale,247.5,0.0
Grayscale,248.5,0.0
Grayscale,249.5,0.0
Grayscale,250.5,0.0
Grayscale,251.5,0.0
Grayscale,252.5,0.0
Grayscale,253.5,0.0
Grayscale,254.5,0.0
Grayscale,255.5,0.0
