series,x,y
Red,244.5,748.0
Red,245.5,749.0
Red,246.5,667.0
Red,247.5,582.0
Red,248.5,428.0
Red,249.5,357.0
Red,250.5,313.0
Red,251.5,302.0
Red,252.5,242.0
Red,253.5,178.0
Red,254.5,67.0
Red,255.5,112.0
Green,0.5,0.0
Green,1.5,0.0
Green,2.5,0.0
Green,3.5,11.0
Green,4.5,65.0
Green,5.5,111.0
Green,6.5,164.0
Green,7.5,261.0
Green,8.5,308.0
Green,9.5,431.0
Green,10.5,537.0
Green,11.5,682.0
Green,12.5,846.0
Green,13.5,912.0
Green,14.5,1074.0
Green,15.5,1350.0
Green,16.5,1480.0
Green,17.5,1681.0
Green,18.5,1621.0
Green,19.5,2064.0
Green,20.5,1835.0
Green,21.5,2048.0
Green,22.5,1989.0
Green,23.5,1911.0
Green,24.5,2258.0
Green,25.5,2129.0
Green,26.5,1748.0
Green,27.5,1776.0
Green,28.5,1850.0
Green,29.5,1687.0
Green,30.5,1605.0
Green,31.5,1661.0
Green,32.5,1355.0
Green,33.5,1360.0
Green,34.5,1189.0
Green,35.5,1278.0
Green,36.5,1062.0
Green,37.5,1027.0
Green,38.5,1052.0
Green,39.5,1084.0
Green,40.5,1013.0
Green,41.5,1026.0
Green,42.5,915.0
Green,43.5,926.0
Green,44.5,1029.0
Green,45.5,1013.0
Green,46.5,1023.0
Green,47.5,875.0
Green,48.5,1110.0
Green,49.5,1057.0
Green,50.5,862.0
Green,51.5,1120.0
Green,52.5,927.0
Green,53.5,1073.0
Green,54.5,1069.0
Green,55.5,1004.0
Green,56.5,1275.0
Green,57.5,1274.0
Green,58.5,1129.0
Green,59.5,1266.0
Green,60.5,1495.0
Green,61.5,1548.0
Green,62.5,1591.0
Green,63.5,2046.0
Green,64.5,1706.0
Green,65.5,1998.0
Green,66.5,1704.0
Green,67.5,2022.0
Green,68.5,1705.0
Green,69.5,1800.0
Green,70.5,1674.0
Green,71.5,1766.0
Green,72.5,1593.0
Green,73.5,1711.0
Green,74.5,1474.0
Green,75.5,1491.0
Green,76.5,1566.0
Green,77.5,1456.0
Green,78.5,1445.0
Green,79.5,1524.0
Green,80.5,1371.0
Green,81.5,1545.0
Green,82.5,1278.0
Green,83.5,1606.0
Green,84.5,1364.0
Green,85.5,1475.0
Green,86.5,1513.0
Green,87.5,1537.0
Green,88.5,1813.0
Green,89.5,1863.0
Green,90.5,1681.0
Green,91.5,1885.0
Green,92.5,2170.0
Green,93.5,1907.0
Green,94.5,2008.0
Green,95.5,1948.0
Green,96.5,2325.0
Green,97.5,2094.0
Green,98.5,1713.0
Green,99.5,2084.0
Green,100.5,1670.0
Green,101.5,1811.0
Green,102.5,1720.0
Green,103.5,1743.0
Green,104.5,1603.0
Green,105.5,1693.0
Green,106.5,1386.0
Green,107.5,1515.0
Green,108.5,1639.0
Green,109.5,1542.0
Green,110.5,1588.0
Green,111.5,1540.0
Green,112.5,1784.0
Green,113.5,1751.0
Green,114.5,1425.0
Green,115.5,1836.0
Green,116.5,1604.0
Green,117.5,1565.0
Green,118.5,1581.0
Green,119.5,1507.0
Green,120.5,1762.0
Green,121.5,1769.0
Green,122.5,1448.0
Green,123.5,1654.0
Green,124.5,1872.0
Green,125.5,1914.0
Green,126.5,1844.0
Green,127.5,2103.0
Green,128.5,1925.0
Green,129.5,2023.0
Green,130.5,1811.0
Green,131.5,2206.0
Green,132.5,1907.0
Green,133.5,1968.0
Green,134.5,2026.0
Green,135.5,2096.0
Green,136.5,2032.0
Green,137.5,2029.0
Green,138.5,1730.0
Green,139.5,1607.0
Green,140.5,1666.0
Green,141.5,1454.0
Green,142.5,1341.0
Green,143.5,1354.0
Green,144.5,1247.0
Green,145.5,1213.0
Green,146.5,942.0
Green,147.5,1152.0
Green,148.5,931.0
Green,149.5,1080.0
Green,150.5,981.0
Green,151.5,904.0
Green,152.5,1006.0
Green,153.5,1003.0
Green,154.5,814.0
Green,155.5,779.0
Green,156.5,848.0
Green,157.5,817.0
Green,158.5,756.0
Green,159.5,828.0
Green,160.5,690.0
Green,161.5,696.0
Green,162.5,579.0
Green,163.5,622.0
Green,164.5,514.0
Green,165.5,528.0
Green,166.5,499.0
Green,167.5,506.0
Green,168.5,450.0
Green,169.5,504.0
Green,170.5,414.0
Green,171.5,483.0
