Index,Center X,Center Y,Radius
1,191.40000915527344,375.0,79.2800064086914
2,238.20001220703125,299.4000244140625,79.2800064086914
3,294.6000061035156,274.20001220703125,79.2800064086914
4,195.00001525878906,171.0,76.64000701904297
5,89.4000015258789,510.6000061035156,75.31999969482422
6,99.00000762939453,433.8000183105469,75.31999969482422
7,102.60000610351562,225.00001525878906,75.31999969482422
8,226.20001220703125,277.8000183105469,75.31999969482422
9,83.4000015258789,450.6000061035156,74.0
10,293.4000244140625,461.4000244140625,74.0
